date	sec	swe	alb
2003-10-01	0.00	0.00	0.88
2003-10-02	0.00	0.00	0.88
2003-10-03	0.00	0.00	0.88
2003-10-04	0.00	0.00	0.88
2003-10-05	0.00	0.00	0.88
2003-10-06	0.00	0.00	0.88
2003-10-07	620.54	0.01	0.85
2003-10-08	0.00	0.00	0.88
2003-10-09	0.00	0.00	0.88
2003-10-10	0.00	0.00	0.88
2003-10-11	0.00	0.00	0.88
2003-10-12	0.00	0.00	0.88
2003-10-13	-581.82	0.00	0.85
2003-10-14	-1302.28	0.00	0.84
2003-10-15	-496.37	0.00	0.83
2003-10-16	-865.25	0.00	0.82
2003-10-17	-1917.45	0.00	0.81
2003-10-18	-1303.61	0.00	0.80
2003-10-19	-235.39	0.00	0.79
2003-10-20	-244.81	0.00	0.81
2003-10-21	-528.52	0.01	0.85
2003-10-22	-565.89	0.02	0.86
2003-10-23	-2137.99	0.02	0.86
2003-10-24	-2975.93	0.02	0.86
2003-10-25	-1829.57	0.02	0.87
2003-10-26	-742.42	0.03	0.87
2003-10-27	-1067.99	0.03	0.87
2003-10-28	-3002.08	0.03	0.86
2003-10-29	-1490.81	0.03	0.83
2003-10-30	-44.46	0.03	0.84
2003-10-31	-78.02	0.03	0.83
2003-11-01	1163.41	0.02	0.80
2003-11-02	333.16	0.01	0.78
2003-11-03	0.00	0.00	0.88
2003-11-04	0.00	0.00	0.88
2003-11-05	-1084.70	0.00	0.85
2003-11-06	-1011.49	0.00	0.82
2003-11-07	-114.01	0.00	0.84
2003-11-08	-67.07	0.00	0.83
2003-11-09	0.00	0.00	0.88
2003-11-10	0.00	0.00	0.88
2003-11-11	0.00	0.00	0.88
2003-11-12	0.00	0.00	0.88
2003-11-13	0.00	0.00	0.88
2003-11-14	-640.20	0.00	0.88
2003-11-15	11.16	0.00	0.88
2003-11-16	0.00	0.00	0.88
2003-11-17	-280.98	0.01	0.88
2003-11-18	522.73	0.01	0.85
2003-11-19	0.00	0.00	0.88
2003-11-20	0.00	0.00	0.88
2003-11-21	0.00	0.00	0.88
2003-11-22	0.00	0.00	0.88
2003-11-23	0.00	0.00	0.88
2003-11-24	0.00	0.00	0.88
2003-11-25	0.00	0.00	0.88
2003-11-26	0.00	0.00	0.88
2003-11-27	0.00	0.00	0.88
2003-11-28	0.00	0.00	0.88
2003-11-29	0.00	0.00	0.88
2003-11-30	-597.72	0.00	0.88
2003-12-01	-59.39	0.00	0.87
2003-12-02	0.00	0.00	0.88
2003-12-03	0.00	0.00	0.88
2003-12-04	0.00	0.00	0.88
2003-12-05	-904.21	0.00	0.85
2003-12-06	-922.96	0.02	0.87
2003-12-07	-3504.91	0.02	0.86
2003-12-08	-4487.76	0.02	0.84
2003-12-09	-2185.56	0.02	0.82
2003-12-10	-2868.47	0.02	0.81
2003-12-11	-2199.90	0.02	0.83
2003-12-12	-1058.81	0.02	0.85
2003-12-13	1223.96	0.01	0.82
2003-12-14	7.91	0.03	0.86
2003-12-15	-2347.47	0.04	0.87
2003-12-16	-2369.32	0.04	0.88
2003-12-17	-1414.18	0.04	0.86
2003-12-18	-3473.36	0.04	0.85
2003-12-19	-1242.49	0.04	0.82
2003-12-20	1330.94	0.05	0.80
2003-12-21	-348.05	0.06	0.85
2003-12-22	-2867.32	0.08	0.87
2003-12-23	-6839.95	0.08	0.86
2003-12-24	-7278.69	0.08	0.85
